entry,word,translation,partofspeech
387,azer,do,
388,azer luvya,rain,
389,azer pasar el tiempo,entertain,
390,azer pena,pain,(v)
391,azer portreto,portray,
392,azer regalo,make a present of,
393,azer shakaruka,make flirtatious remark,
394,azete,oil,
395,azlahá,success;abundance,(f)
396,azno,donkey,(m)
397,bagaje,luggage,(m)
398,bahshísh;bakshísh,tip;gratuity,(m)
399,bakal,grocer,
400,bakanyádo,cod fish,(m)
401,bála,ball;bullet;bale,(f)
402,balkón,balcony,(m)
403,bálsa,puddle,(f)
404,banana,banana,
405,banda de kuero,strap,
406,bandiera,banner;flag,(f)
407,banka,bank,(f)
408,bar,bar,
409,baragán;barragán,brave;robust,(m)
410,baraná,uproar;racket;tumult,(f)
411,barato,cheap,(adj)
412,barbaro,barbarian,
413,barbúnya,red mullet fish,(f)
414,barka motorizada,motorboat,
415,bárko,boat;small,(m)
416,barrir,sweep,(v)
417,basheza,baseness,
418,basho,low;mean,(adj)
419,basketbol,basketball,
420,bastánte,enough;quite,
421,bastár;abastár,be enough;be sufficient,(v)
422,batalia,battle,(f)
423,batalyon,battalion,(m)
424,báva,spittle,(f)
425,bavajada,trifle;gibberish,
426,bayát,stale;old;rancid,(adj)
427,bayladór,dancer;ballet-dancer,(m/f)
428,baylar,dance,(v)
429,bayle,dance,
430,baza,basis,(f)
431,bazár,bazaar;market;souk,(m)
432,bendizír;bendezír,bless,(v)
433,benyarse,bathe,
434,benzin,petrol;gasoline,
435,beraha;bendision,benediction,
436,bet din,rabbinical tribunal,
437,bever,drink,
438,bezar,kiss,
439,bézo,kiss,
440,Bíblia;Bíblya,Bible,
441,bien,well,
442,bienfezensia,charity,
443,biervo;palavra,word,
444,biftek,steak,
445,bilbíl;bulbúl,nightingale,(m)
446,bilibíz,roasted chick pea,(m)
447,bilieto;bilyeto,ticket,
448,bira,beer,
449,bírra;íra,great anger;fury,(f)
450,bisikleta,bicycle,
451,biskucháda,Zwieback,(f)
452,bivir,live,
453,bízba;bézba,wasp;bee,(f)
454,koza,Bizba detras de la oreja,
455,blanko/a,white,
456,blankúcho,albino,(m)
457,blondo/a,blond,
458,blu,blue,
459,boda,wedding;marriage,
460,bodre,edge,
461,bodrum,basement,
462,bógo;bogchá,bundle,(m/f)
463,bohór/bohóra,first-born,
464,bóka,mouth,
465,bokál,bottle,(m)
466,bolar,fly,
467,bolsa de mujer,bag;purse,
468,bolsa;sako,pouch,
469,bonéte,bonnet,(m)
470,bonora,happiness;luck;good fortune,
471,bora,gust,
472,borracho/a,drunk,
473,Bosfor,Bosphorus,
474,bostan,market garden,
475,botíka;butíka,shop,(f)
476,bovedad,silliness,
477,bovo;torpe,silly;stupid,
478,boy,size;heght;dimensions,(m)
479,bóyo,savoury flaky pastry,(m)
480,bóyo de ráyo,cheese cookies,(m)
481,boz,voice,(f)
482,bragas,breeches,
483,braso,arm,
484,brávo,bravo,(interj)
485,brávo;bráva,brave,(adj)
486,bravura,bravery,
487,bráza,live charcoal,(f)
488,brig,brig,
489,Brindar,Toast;offer voluntarily,(v)
490,brodar,embroider,
491,broshúra,brochure;pamphlet,(f)
492,bruido,noise,
493,bruído;ruído,noise,(m)
494,bruma;duman,mist;fog,
495,brumozo,misty;foggy,
496,brusko,brusque;dark,(adj)
497,buchúk,twin,(m)
498,bueno,good;OK,
499,bulisa;mujer de kaza,landlady;housewife,
500,burakito de alguja,needle-hole,
501,buráko,hole,(m)
502,burlarse de,mock,
503,buró,office,(m)
504,bushkár,search,(v)
505,bushkida,search,
506,búto,goal,
507,buyir,boil,
508,buz,ice,(m)
509,buzaná,ice-box;very cold place,(f)
510,buziéra;buzyéra,refrigerator,(f)
511,byervo;palavra,word,
512,büro,office;study,
513,chadir,umbrella,
514,chaketon,slap,
515,chanaka,pot,
516,chanáka de sateiít,satellite dish,(f)
517,chanta de ombre,briefcase,
518,chapéo;chapéyo,hat,(m)
519,chapétas,hot flushes;reddening of the face,(f)
520,chapín,shoe,(m)
521,chapteár;chafteár,clash;knock,(v)
522,chapteár;chafteár,bump into,(v)
523,chark,wheel;gear,(m)
524,chark;chárke,wheel,(m)
525,charúka,slipper;mule,(f)
526,chay,tea,
527,chicolata,chocolate,
528,chikéz,childhood,(f)
529,chiklet,chewing-gum,
530,chiko/a,small,
531,chiní,plate,(m)
532,chobán,shepherd,(m)
533,chuflar,whistle,
534,chufléte,whistle,(m)
535,chupéta,sucker for baby;titina,(f)
536,dado,dice,
537,daínda;déynda,still,(adv)
538,dalkávo,last;the last one,(adj)
539,dányo,damage;harm,(m)
540,dar,give,
541,dar haber;informar,inform,
542,dar razon,concede,
543,dar uti,iron,
544,data,date,
545,dáta,date,
546,de,of,(prep)
547,de ande,where,
548,de banka,financial,
549,de komer,comestible,
550,de muévo,again,
551,de vez en kuando,from time to time,
552,debasho,under;underneath,
553,debáte,debate,(m)
554,dechidir,decide,
555,dechidirse,decide,
556,dechizión;dechizyón,decision,(f)
557,dedikarse,dedicate oneself,
558,dedo,finger,
559,defender,defend;protect;forbid,
560,defenderse,defend oneself,
561,defile,fashion show,
562,defunkto/a,deceased,
563,deké,why,
564,dekor,scenery;set,
565,dekreto,edict;decree,
566,delantál,apron,(m)
567,delantre,in front,
568,delegar,delegate,
569,delisiózo;delisióza,delicious,(adj)
570,demánda,question;request,
571,demandár,request;ask,(v)
572,demanyana,morning,
573,demaziado,too much,
574,demokrasia,democracy,
575,demostrar,demonstrate,
576,dempues,after,
577,depender,depend,
578,derecha,right,
579,derécho,right;straight,(m)
580,derritír,melt,(v)
581,derrokar,knock down,
582,desbafár;esbafár,relieve oneself,(v)
583,desde,since,
584,desdenio,disdain,
585,desdichádo;desdicháda,unhappy;unlucky,(adj)
586,desén,design,(m)
587,desendiénte,descendant,(m/f)
