word,translation,partofspeech
intention,entision,
interest,enteresar,
interrupt,enteromper,
intestine;gut,intestino,
intimacy,intimidad,
intricate,entrafikado;komplikado,
introduce,introduzir,
introduction,introduksion,
invalid,enfirmo/a,
invent,enventar,
invest,investir,
investigation,investigasion,
investigator,investigador,
invitation,invitasion,
invite,envitar,
invite,invitar,
iron,dar uti,
irrigate,arrufyar,
Istanbul,Estanbol,
jack-knife,navaja,
jacket,djaketa,
January,Jenero,
January,enéro,
japanese,japonezo/a,
jealousy,selo,
jersey;sweater,triko;sueter,
Jew,djudio/a,
jewel,djoya,
jeweler,djoyero,
Jewish Grand Pardon and Fasting Day,Kipur,
joined;together,djuntos,
joke,shaka,
judaism,djudaísmo,
juice,sumo,
July,djulio,
jump;launch out,lansarse;echarse,
June,júnio,
jungle,shara tropikal,
just;right;fair,djústo,
keep quiet,kayarse,
key,yave,
kill,matar,
kilo,kilo,
kilometre,kilometro,
King,Rey,
kiss,bezar,
kiss,bézo,
kitchen,kozína;kuzína;mutpák,
knee,diz,
knife,kuchiyo,
knock down,derrokar,
knot oneself,echarse anyudo,
know,saver,
know;recognize,konoser,
knowingly,todo en saviendo,
lack,mankar;faltar,
lamb,kodrero,
lame;limping,kosho/a,
landlady;housewife,bulisa;mujer de kaza,
language;tongue,lashón,
last;endure,turar,
late,tadre,
latin,latin,
latin,latin;latino,
lawyer,avokato,
lay down,apozar,
laziness,pareza;haraganud,
lazy,paresozo/a;haragan,
leap;jump,saltar,
learn,aprender,
leave;abandon,deshar,
leek,prasa,
left,siedra,
left-handed,siedrero/a,
lemon,limon,
less,mánko;mánka,
let us see,veremos,
letter,letra,
letter;card,karta,
letter;written document,eskrita,
level,nivel,
liar,mentiroso/a;mintirozo/a,
licence;permission,lisensia,
lid,tapon,
lie,mentira;mintira,
lie down,echarse,
lie down,espandirse;echarse,
life,vida,
light,luz,
light;ignite,asender,
light;trivial,liviano,
lightning,rayo,
limit,limito,
limp,flosho/a,
lipstick,ruj,
list,lísta,
literature,literatúra,
live,bivir,
arrapa el guerko,Leshos de todo,
livestock,trupa de bestia,
load;charge,kargar,
lock,serradura,
logic,lojika,
long,largo/a,
long,lungo,
longing;nostalgia,eskarinyo,
look,mirar,
look alike,pareserse,
look;glance,mirada,
lose,pedrer;piedrer,
lose,piedrer,
love;like,kerer bien,
lucid,lusido/a,
luck;fortune,suerte,
lunch;picnic,merendar;piknikar,
lungs,pulmones,
luxurious,luksyozo/a,
luxury,lukso,
machine,makina,
magazine,revista,
es el simbolo del puevlo djudio Eskudo de David,Una,
magnificent,manyifiko/a,
maid;servant,moso/mosa,
main street;highway,kamino prinsipal,
maintain;sustain,mantener,
major,mayor,
majority,majorita,
make a present of,arregalar,
make a present of,azer regalo,
make evident,averdadear,
make flirtatious remark,azer shakaruka,
make use of,dispozar,
make-up,makiyarse,
man,ombre,
manage,kontentarse,
manifest,manifestar,
manner,manera,
mark;brand,marka,
market garden,bostan,
marquee;canopy,tenta,
marry,kazar,
material,material,
maximum,maksimo,
May,máyo,
may God wish,ishalla,
me;to me;myself,me,
meaning,sinyifikasion,
meanwhile,entremientes,
measure,mesurar,
measure;step,prekosion,
meat,karne,
medal,medalya,
medicine;drug,kura,
medicine;remedy,milizina,
meditate,meditar,
meeting,enkontro,
member,miembro,
memorable,memoravle,
memory,memoria;tino,
merchant,komersante,
message,mesaje,
middle,medio,
midnight,medianoche,
military service,servisio militar,
milk,leche,
million,milyon,
mine;my,mío;míyo;mía;míya,
minimum,minimum,
minister,minístro,
minor,minor,
minute,minúto,
minute,minúto,
miracle,mirakolo;milagro,
mirror,espejo,
misery,mizeria,
misfortunate;unlucky,desmazaládo/desmazaláda,
misfortune,desgrasia,
misfortune;mishap;waste,manzíya,
ke no vayga en manziya Mozotros dizimos,Pekado i,
mist,nevlina,
mist;fog,bruma;duman,
mistake,yerro,
mister,musyu,
mistrust,deskonfiensa,
misty;foggy,brumozo,
mock,burlarse de,
mode;manner,modo,
moderate oneself;temper down,arresentarse,
modern,modérno;modérna,
molar tooth,muela,
molest,fishugar,
mom,mama,
moment,momento,
moment;minute,punto,
Monday,lúnes,
money,dinero,
money,moneda;para,
money,paras,
monosyllable,monosilabo,
month,mez,
moon,lúna,
Moorish,moro/mora,
moral,moral,
more,maz,
more,mas,
morning,demanyana,
morning;tomorrow,manyana,
morphine,morfina,
mother,mádre,
mother tongue,lingua maternal,
motor,motor,
motorboat,barka motorizada,
motorcycle,motosikleta,
mount;get up on,suvir,
mountain,montanya,
mourning,dolio,
moustache,mustacho,
mouth,bóka,
move;shake,menear,
move;shift,meter en movimiento,
much,muncho,
mud,lódo,
Municipality,Munisipalidad,
museum,muzéo;muséo,
mushroom,shampinyon,
music,muzika,
must,kále,
mutually,uno a otro,
my;me,mi,
nail,unya,
name,nombre,
nape,piskueso,
nation,nasyon,
national,nasional,
nature,natura,
nazi,nazi,
near;close,serka,
near;close,serkano/a,
near;next,proksimo;proksima,
neat;stylish,elegante,
necessary,menestér,
necessary,nesesario,
necessity,nesesidad,
neck,garganta,
need,nesesitar;tener menester,
needle-hole,burakito de alguja,
negative,negativo/a,
neighbour,vezino/a,
neither nor,ni ni,
nervous,inyervozo/a,
nest,nido,
net,red,
never,nunka,
new,muevo/a,
news,avizo,
news,novedades;avizos,
news;information,habér,
newspaper,gazeta,
newspaper,jurnal,
next month,el mez ke viene,
next;following,siguiente,
next;near,el de despues,
night,noche,
noble,novle,
noise,bruido,
noon,mediodia;midi,
nose,nariz,
nostalgia,nostaljia,
notably,notavlamente,
notebook,tefter,
nothing,nada,
notice,observar,
notice,rendérse kuénto;dárse kuénto,
novel;romance,romanso,
oak,rovle,
obedient,ovedesyente;obeisente,
obey,ovedecer;obeisar,
object,objekto,
objective,objektivo/a,
obligation,ovligasion,
obstacle,obstakolo,
obtain,obtener,
occasion,okazion,
occupy,okupar,
of course,naturalmente,
offer,ofrir,
office;study,büro,
official,ofisial,
official document,dokumento ofisial,
officiating rabbi,hazán,
oil,azete,
old,viejo/a,
old;aged,viejo/a;aedado/a;nikochiri,
on;on top;about,endriva;sovre,
on;on top;about,enriva;sovre,
one-armed,sin braso,
onion,sevoya,
only,solamente,
only,solo,
open,avrir,
opening,avyertura,
operate,operar,
operetta,operetta,
opinion,opinion,
opportune,oportuno,
opportune,konveniente,
opportunity,oportunidad,
oppose,opozar,
opposite to,enfrente de,
oppress,oprimir,
or;either or,o,
orange,portokal,
order,orden,
order;arrange,ordenar;meter orden,
orderly,ordenado/a,
ordinary;common,ordinario;bayagi,
organizer,organizador,
orientate,orientar,
original,orijinal,
other,otro/a,
others;more,otros,
our,muestro/muestra,
oven,orno,
over-coat,pardesu,
owl,kukuvaya,
owner;proprietor,patron;proprietario,
oyster,estridia,
painter,pintador/a,
pair;couple,par,
paper,papel,
paradise;Garden of Eden,ganeden,
parallel,paralelo/a,
paralytic,paralizado/a,
pardon;forgiveness,pardon,
parents,djenitores,
parsley,maydanoz,
part;side,parte,
part;game,partida,
participant,partisipante,
participate,partisipar,
particular;peculiar,partikolar,
pass,pasar,
pass the exam,reushir el egzamen,
passenger,pasajero /a,
passport,pasaporto,
patience,pasensia,
pavilion,paviyon,
pay,pagar,
pay attention,echar tino;azer atansion,
peace,pas,
peach,shefteli,
peel,mundar,
pencil,kalem,
people,djente,
people,puevlo,
percent,por sien,
perfect,perfekto/a,
perfection,perfeksion,
perfume;aroma,parfum,
perhaps,puede ser,
perhaps,puéde ser,
peril,perikolo,
perilous;risky,perikolozo/a,
perilously,perikolozamente,
periodic;periodical,periodiko,
permit,permeter,
perpetual,perpetual,
person,persona,
personal,personal,
petrol;gasoline,benzin,
petticoat,kombinezon;jupon,
pharmacy,farmasiya,
philosophy,filozofia,
photo,fotografia,
picture;painting,tablo,
piece,pedaso,
pin,alfinéte,
pine-cone,fruto del pino,
pine-kernel,pinyon,
pitcher,kantaro,
place,lugar,
plane;airplane,avion,
plate;dish,plato,
play,djugar,
play,piesa de teatro,
please,kontentar,
please;be pleasing,gustár,
pleasure;taste,gusto,
plough,arar,
poem;poetry,poezia,
point,punta,
police,polisiya,
pond,étang ?,
poor,prove,
poor;wretch,povereto/ax,
popular,popular,
portrait,portreto,
portray,azer portreto,
positive,pozitivo,
possess,posedar,
possession,posesion,
possibility,posibilidad,
possible,posivle,
posterior;subsequent,detras;despues,
pot,chanaka,
potassium,potasio,
potato,patata,
pouch,bolsa;sako,
pour;spill,verter,
practical,pratiko,
practice,pratikar,
prawn,gamba,
pray,arrogar,
pray,orasionar,
prayer,orasion,
precept;order,presepto,
precipice,presipisio,
precise,prechizo,
precisely,prechizamente,
prefer,preferar,
preoccupied,preokupado/a,
preparation,preparativos,
preposition,prepozision,
present,prezentar,
present,prezente,
preserve,konservar,
preserve,prezervar,
pretend;claim,pretend;claim,
pretext,preteksto,
pretty,lindo/a,
pretty;nice,luzio/a,
price,presio,
prickle,punchon,
pride,orgolyo,
princess,prensesa,
private,privado,
private,privado/a,
probability,probabilidad,
problem,problem,
produce,produzir,
profess;practice,profesar,
professional,profesional,
profile,perfil;profil,
profit,profitar,
profit;gain,profitar;ganar,
program,programa;program,
progress,progresar,
project,prodjekto,
prolong;extend,prolungar,
prolongation,prolungasion,
promise,prometer,
